"Artist1";"Artist2";"Song_Connecting";"Popularity"
"0VitAFMCI2apQxKzDjg1PU";"1gs79u8PKkWAW1yfymbkTt";"6xOC20CkoRKAwGWh32nPHL";64
"0VitAFMCI2apQxKzDjg1PU";"5WBincqAirIREkG5sXqeyq";"1LLlIHa6yVdxTyVseZYa5t";60
"0VitAFMCI2apQxKzDjg1PU";"1SDzdhISMGaEQzOCaJQ45C";"5zCfUmaYvdOXirZTHtgD5Y";42
"0VitAFMCI2apQxKzDjg1PU";"3X9nkz31tAOM25rdtzfi60";"5zCfUmaYvdOXirZTHtgD5Y";42
"1gs79u8PKkWAW1yfymbkTt";"2KXYAKQTxHuUHDtVgeGn6w";"6xOC20CkoRKAwGWh32nPHL";64
"2KXYAKQTxHuUHDtVgeGn6w";"5WBincqAirIREkG5sXqeyq";"1LLlIHa6yVdxTyVseZYa5t";60
"1SDzdhISMGaEQzOCaJQ45C";"2KXYAKQTxHuUHDtVgeGn6w";"5zCfUmaYvdOXirZTHtgD5Y";42
"2KXYAKQTxHuUHDtVgeGn6w";"3X9nkz31tAOM25rdtzfi60";"5zCfUmaYvdOXirZTHtgD5Y";42
"1gs79u8PKkWAW1yfymbkTt";"5WBincqAirIREkG5sXqeyq";"1LLlIHa6yVdxTyVseZYa5t";60
"1SDzdhISMGaEQzOCaJQ45C";"1gs79u8PKkWAW1yfymbkTt";"5zCfUmaYvdOXirZTHtgD5Y";42
"1gs79u8PKkWAW1yfymbkTt";"3X9nkz31tAOM25rdtzfi60";"5zCfUmaYvdOXirZTHtgD5Y";42
"1SDzdhISMGaEQzOCaJQ45C";"5WBincqAirIREkG5sXqeyq";"5zCfUmaYvdOXirZTHtgD5Y";42
"3X9nkz31tAOM25rdtzfi60";"5WBincqAirIREkG5sXqeyq";"5zCfUmaYvdOXirZTHtgD5Y";42
"1SDzdhISMGaEQzOCaJQ45C";"3X9nkz31tAOM25rdtzfi60";"5zCfUmaYvdOXirZTHtgD5Y";42
"0VitAFMCI2apQxKzDjg1PU";"3hBQ4zniNdQf1cqqo6hzuW";"5S8BB5FILokyYmN0BZruDQ";59
"0VitAFMCI2apQxKzDjg1PU";"5FkcU4BVzPptuB6AjobZIL";"5S8BB5FILokyYmN0BZruDQ";59
"0VitAFMCI2apQxKzDjg1PU";"51ltJZ6rB893AdzgCxSOV3";"5S8BB5FILokyYmN0BZruDQ";59
"2KXYAKQTxHuUHDtVgeGn6w";"3hBQ4zniNdQf1cqqo6hzuW";"5S8BB5FILokyYmN0BZruDQ";59
